crop,product,hindi_crop,hindi_product,kannada_crop,kannada_product,telugu_crop,telugu_product,malayalam_crop,malayalam_product,tamil_crop,tamil_product,marathi_crop,marathi_product,gujarati_crop,gujarati_product,punjabi_crop,punjabi_product,bengali_crop,bengali_product,assamese_crop,assamese_product,odia_crop,odia_product
Cucumber,Nazia,खीरा,नाजिया,ಸೌತೆಕಾಯಿ,ನಾಜಿಯಾ,దోసకాయ,నాజియా,വെള്ളരി,നാജിയാ,வெள்ளரி,நாஜியா,काकडी,नाजिया,કાકડી,નાજિયા,ਖੀਰਾ,ਨਾਜਿਯਾ,শসা,নাজিয়া,তিয়ঁহ,নাজিয়া,କାକୁଡ଼ି,ନାଜିଯା
Tomato,Adiya,टमाटर,आदिया,ಟೊಮೇಟೊ,ಆದಿಯಾ,టమాటా,ఆదియా,തക്കാളി,ആദിയാ,தக்காளி,ஆதியா,टोमॅटो,आदिया,ટામેટા,આદિયા,ਟਮਾਟਰ,ਆਦਿਯਾ,টমেটো,আদিয়া,বিলাহী,আদিয়া,ଟମାଟୋ,ଆଦିଯା
Tomato,Adhrit,टमाटर,अध्रित,ಟೊಮೇಟೊ,ಅಧ್ರಿತ,టమాటా,అధ్రిత,തക്കാളി,അധ്രിത,தக்காளி,அத்ரித,टोमॅटो,अध्रित,ટામેટા,અધ્રિત,ਟਮਾਟਰ,ਅਧ੍ਰਿਤ,টমেটো,অধ্রিত,বিলাহী,অধ্ৰিত,ଟମାଟୋ,ଅଧ୍ରିତ
Cauliflower,Dhaval,फूलगोभी,धवल,ಹೂಕೋಸು,ಧವಲ,కాలీఫ్లవర్,ధవల,കോളിഫ്ലവർ,ധവല,காலிஃபிளவர்,தவல,फुलकोबी,धवल,ફુલાવર,ધવલ,ਫੁੱਲ ਗੋਭੀ,ਧਵਲ,ফুলকপি,ধবল,ফুলকবি,ধৱল,ଫୁଲକୋବି,ଧଵଲ
Bitter Gourd,Pragati,करेला,प्रगति,ಹಾಗಲಕಾಯಿ,ಪ್ರಗತಿ,కాకరకాయ,ప్రగతి,പാവയ്ക്ക,പ്രഗതി,பாகற்காய்,ப்ரகதி,कारले,प्रगति,કારેલા,પ્રગતિ,ਕਰੇਲਾ,ਪ੍ਰਗਤਿ,করলা,প্রগতি,কেৰেলা,প্ৰগতি,କଲରା,ପ୍ରଗତି
Bitter Gourd,Prachi,करेला,प्राची,ಹಾಗಲಕಾಯಿ,ಪ್ರಾಚೀ,కాకరకాయ,ప్రాచీ,പാവയ്ക്ക,പ്രാചീ,பாகற்காய்,ப்ராசீ,कारले,प्राची,કારેલા,પ્રાચી,ਕਰੇਲਾ,ਪ੍ਰਾਚੀ,করলা,প্রাচী,কেৰেলা,প্ৰাচী,କଲରା,ପ୍ରାଚୀ
Bitter Gourd,Palee,करेला,पाली,ಹಾಗಲಕಾಯಿ,ಪಾಲೀ,కాకరకాయ,పాలీ,പാവയ്ക്ക,പാലീ,பாகற்காய்,பாலீ,कारले,पाली,કારેલા,પાલી,ਕਰੇਲਾ,ਪਾਲੀ,করলা,পালী,কেৰেলা,পালী,କଲରା,ପାଲୀ
Cucumber,Encounter,खीरा,एनकाउंटर,ಸೌತೆಕಾಯಿ,ಏನಕಾಉಂಟರ,దోసకాయ,ఏనకాఉంటర,വെള്ളരി,ഏനകാഉംടര,வெள்ளரி,ஏநகாஉண்டர,काकडी,एनकाउंटर,કાકડી,એનકાઉંટર,ਖੀਰਾ,ਏਨਕਾਉਂਟਰ,শসা,এনকাউংটর,তিয়ঁহ,এনকাউংটৰ,କାକୁଡ଼ି,ଏନକାଉଂଟର
Cucumber,Kamini,खीरा,कामिनी,ಸೌತೆಕಾಯಿ,ಕಾಮಿನೀ,దోసకాయ,కామినీ,വെള്ളരി,കാമിനീ,வெள்ளரி,காமிநீ,काकडी,कामिनी,કાકડી,કામિની,ਖੀਰਾ,ਕਾਮਿਨੀ,শসা,কামিনী,তিয়ঁহ,কামিনী,କାକୁଡ଼ି,କାମିନୀ
Tomato,Bajeerao,टमाटर,बाजीराव,ಟೊಮೇಟೊ,ಬಾಜೀರಾವ,టమాటా,బాజీరావ,തക്കാളി,ബാജീരാവ,தக்காளி,பாஜீராவ,टोमॅटो,बाजीराव,ટામેટા,બાજીરાવ,ਟਮਾਟਰ,ਬਾਜੀਰਾਵ,টমেটো,বাজীরাব,বিলাহী,বাজীৰাৱ,ଟମାଟୋ,ବାଜୀରାଵ
